Unnamed: 0,Viscosity,Velocity,PrintingSpeed,PatternSize
1,8,5,150,19
5,5,7,50,224
17,8,5,125,29
19,8,7,25,88
24,5,6,175,61
26,3,8,75,436
27,5,6,50,208
34,3,6,25,536
47,9,6,250,7
54,9,6,25,70
55,7,6,175,35
56,3,7,100,326
60,9,7,175,22
73,7,8,200,32
76,7,7,225,20
77,8,4,150,15
78,5,6,150,80
79,6,8,225,40
91,8,8,250,12
94,7,8,125,48
95,4,7,100,188
101,8,5,75,50
102,3,8,100,340
104,8,8,175,28
117,4,6,25,314
118,7,5,100,48
119,8,4,175,11
121,4,5,200,61
122,8,4,50,57
125,8,9,250,14
140,3,6,100,303
154,8,8,200,25
155,8,5,200,13
156,8,7,250,10
158,5,5,125,85
162,7,5,50,79
169,7,8,175,50
178,6,8,150,70
184,8,7,100,50
185,8,4,250,4
186,4,5,175,72
187,5,5,175,50
189,7,6,75,70
194,7,7,100,56
195,4,7,25,325
197,8,5,100,39
199,6,5,75,80
201,4,8,50,294
213,9,6,100,35
216,4,5,150,88
217,8,4,125,21
218,5,7,125,118
221,8,4,225,5
225,8,6,150,22
227,9,6,200,15
235,4,6,50,232
244,5,6,200,45
247,7,8,50,101
248,7,7,150,62
250,8,5,250,5
252,5,5,100,109
253,9,7,75,52
259,8,6,75,58
261,7,7,250,17
268,5,5,150,68
276,8,9,200,30
278,4,7,50,254
279,4,7,175,108
285,3,7,175,168
288,6,8,25,151
289,7,6,25,94
292,8,4,200,7
293,5,5,75,159
294,6,7,200,45
295,9,7,25,76
296,7,8,250,21
297,6,5,50,92
300,6,7,150,62
305,9,7,50,72
311,5,7,25,245
313,7,5,150,22
319,3,7,125,264
325,6,5,100,65
327,7,6,50,85
329,5,8,75,207
330,5,5,25,220
333,3,7,200,108
337,6,5,150,41
339,5,8,25,264
346,8,7,125,40
350,8,5,175,18
354,5,8,100,142
356,7,7,25,102
358,7,7,50,92
359,8,6,200,17
360,4,6,125,117
362,3,7,75,411
364,6,7,25,145
373,6,7,125,68
379,4,5,125,96
388,3,6,175,153
408,7,5,75,60
414,5,6,100,121
418,9,7,250,9
421,9,7,150,29
424,8,7,75,64
425,4,8,200,99
428,4,8,150,141
433,7,6,100,52
437,3,6,75,387
446,8,6,250,7
449,5,5,200,40
457,7,5,125,30
460,5,7,150,91
468,3,8,50,585
469,6,6,50,99
471,6,6,100,71
476,6,6,200,38
485,9,7,200,17
488,5,8,225,44
496,8,6,100,44
498,8,4,100,30
502,3,6,125,250
507,3,8,125,292
510,4,7,250,50
528,8,7,200,22
531,8,6,125,34
536,6,6,125,62
542,6,7,225,30
547,9,6,150,21
549,7,8,150,70
550,5,7,250,30
555,6,7,50,105
559,6,8,125,75
561,9,6,225,10
564,8,7,50,85
566,7,7,200,28
567,4,7,75,241
572,8,7,175,24
579,8,5,25,72
580,6,6,75,93
583,7,7,175,42
589,8,9,175,32
590,7,6,150,50
592,4,8,225,69
595,6,6,25,121
603,5,6,125,92
604,5,8,125,125
610,6,5,125,52
611,4,6,175,85
612,6,7,250,25
618,3,6,50,503
619,6,6,150,50
622,3,6,150,203
630,8,7,225,14
631,5,7,75,180
635,4,5,100,142
639,5,8,250,38
661,8,8,225,18
663,8,4,75,45
673,4,8,75,275
676,4,7,150,126
677,9,6,175,18
685,4,8,125,174
688,8,4,25,64
693,7,8,225,28
699,6,8,250,32
702,3,8,150,282
713,7,8,75,89
716,4,7,125,135
719,4,7,200,82
720,5,8,150,99
724,8,7,150,30
728,5,7,225,35
729,6,8,50,124
733,9,6,75,40
736,8,5,50,63
740,3,7,25,646
742,7,8,100,66
752,6,7,175,52
753,5,6,75,171
755,7,8,25,110
768,4,7,225,55
780,7,7,125,38
785,7,7,75,81
795,5,7,100,128
797,5,8,175,88
806,3,6,200,127
811,9,7,100,50
812,4,6,150,102
814,9,7,125,38
819,4,8,100,228
820,7,5,25,88
821,7,6,125,35
824,4,6,200,70
832,8,5,225,6
837,8,6,225,10
840,5,7,175,71
843,8,6,25,80
846,6,7,100,87
860,9,7,225,13
864,6,8,75,112
865,6,6,175,48
873,6,8,175,60
879,6,5,25,110
882,4,8,25,359
886,8,9,225,21
888,5,8,50,250
905,8,6,50,72
919,5,5,50,198
925,8,6,175,21
938,3,7,225,100
943,4,6,75,228
946,5,7,200,50
947,4,6,100,190
948,3,7,250,92
956,3,7,50,526
957,3,8,25,740
963,6,7,75,103
964,6,8,100,99
965,9,6,50,66
966,3,7,150,226
975,4,8,175,124
978,5,6,25,232
980,9,6,125,30
